"year","PRIM_STATE","AREA","AREA_NAME","OCC_CODE","OCC_TITLE","GROUP","TOT_EMP","EMP_PRSE","JOBS_1000","LOC_QUOTIENT","A_MEAN","MEAN_PRSE","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90"
"2011","CA","31084","Los Angeles, CA ","27-3042","Technical Writers",,1110,11.8,0.29,1.16,88380,4.4,52100,62640,77700,100330,166400
"2011","CA","31084","Los Angeles, CA ","27-3091","Interpreters and Translators",,1740,12.1,0.456,1.16,55720,5.4,32870,45310,57270,68050,74530
"2011","CA","31084","Los Angeles, CA ","27-3099","Media and Communication Workers, All Other",,6340,16.6,1.659,1.16,68690,4.4,26900,32710,56730,89650,134510
"2011","CA","31084","Los Angeles, CA ","27-4011","Audio and Video Equipment Technicians",,3560,13.1,0.932,1.16,54510,4.1,29140,35230,46690,77490,91790
"2011","CA","31084","Los Angeles, CA ","27-4012","Broadcast Technicians",,3540,13.2,0.925,1.16,48200,6.8,20200,25390,44060,67510,86000
"2011","CA","31084","Los Angeles, CA ","27-4014","Sound Engineering Technicians",,2260,11.4,0.592,1.16,82890,8.5,32550,43690,68280,92800,145930
"2011","CA","31084","Los Angeles, CA ","27-4021","Photographers",,1350,14.7,0.354,1.16,52780,6.4,22340,30920,44440,68790,94360
"2011","CA","31084","Los Angeles, CA ","27-4031","Camera Operators, Television, Video, and Motion Picture",,1680,8.6,0.44,1.16,80010,12,25410,32880,51000,114620,165220
"2011","CA","31084","Los Angeles, CA ","27-4032","Film and Video Editors",,4780,11.6,1.251,1.16,102770,3.6,35790,57570,96090,134960,178720
"2011","CA","31084","Los Angeles, CA ","27-4099","Media and Communication Equipment Workers, All Other",,2780,15,0.727,1.16,79770,2.7,34660,54210,79550,95870,126240
"2011","CA","33700","Modesto, CA","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",1350,13.3,9.05,1.16,43400,7,20570,23610,34930,58060,81630
"2011","CA","33700","Modesto, CA","27-1023","Floral Designers",,40,13.4,0.284,1.16,24790,7.2,17990,19320,25600,28900,31160
"2011","CA","33700","Modesto, CA","27-1024","Graphic Designers",,110,11,0.723,1.15,42300,4,25380,29650,41000,50890,59840
"2011","CA","33700","Modesto, CA","27-1026","Merchandise Displayers and Window Trimmers",,80,29.8,0.541,1.15,25990,5.2,20510,21580,23370,27620,35520
"2011","CA","33700","Modesto, CA","27-2032","Choreographers",,100,21.9,0.695,1.15,49260,11.8,17910,25320,48200,68170,86590
"2011","CA","33700","Modesto, CA","27-3031","Public Relations Specialists",,60,16,0.391,1.15,51800,6.6,28680,33880,47830,60250,87940
"2011","CA","33700","Modesto, CA","27-3091","Interpreters and Translators",,60,27,0.414,1.15,47170,8.6,30250,33070,37540,63970,73840
"2011","CA","33700","Modesto, CA","27-4011","Audio and Video Equipment Technicians",,30,40.4,0.208,1.15,30230,8.3,21130,23670,32000,35190,37100
"2011","CA","33700","Modesto, CA","27-4021","Photographers",,80,19.6,0.565,1.15,36070,18.2,19260,21830,27170,42890,67590
"2011","CA","36084","Oakland, CA","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",13740,6.2,14.427,1.15,58230,3.9,23070,33180,48800,71070,100900
"2011","CA","36084","Oakland, CA","27-1011","Art Directors",,240,15.6,0.255,1.15,90090,5.1,45850,61940,83250,108820,145200
